source_file,bytes,format,encoding,records,valid,fields_or_first_line,sha256
results/20260915-223228-full-aggregation-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223228-full-aggregation-10/containers.jsonl,3177,JSONL,utf-8-sig,12,True,"stats, timestamp",848b6c3632ee76db9a9da6463943d8ea406d75c7fc3043470263debd232989b9
results/20260915-223228-full-aggregation-10/run.json,233,JSON,utf-8-sig,6,True,"durationSeconds, startedUtc, deployment, endpoint, requests, url",8ef4c1f42dd652b19fe34fb1b9b6b0c124ac6cd1f5e5c5c7bc9bbf0797ce8eab
results/20260915-223228-full-aggregation-10/samples.json,59038,JSONL,utf-8-sig,214,True,"data, metric, type",ff3fb3dddf05b82da62aaf299dc807800eb7b2d6628806c6ed25c1150c161559
results/20260915-223228-full-aggregation-10/stop,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223228-full-aggregation-10/summary.json,5620,JSON,utf-8-sig,4,True,"root_group, options, state, metrics",6eb2fbb650d7ea5534c4b7f2cd5d863ddd21d5e58aa2e091986bd67677c6f440
results/20260915-223228-full-aggregation-10/threads.jsonl,2956,JSONL,utf-8-sig,12,True,"container, processes, timestamp",150140d1dac319c20f141b17f4c19fb365e07fb93b6f7d2280c4818c37551dca
results/20260915-223228-full-aggregation-10/traefik.jsonl,130060,JSONL con prefijo Docker Compose,utf-16,69,True,"ClientAddr, ClientHost, ClientPort, ClientUsername, DownstreamContentSize, DownstreamStatus, Duration, OriginContentSize, OriginDuration, OriginStatus, Overhead, RequestAddr, RequestContentSize, RequestCount, RequestHost, RequestMethod, RequestPath, RequestPort, RequestProtocol, RequestScheme, RetryAttempts, RouterName, ServiceAddr, ServiceName, ServiceURL, StartLocal, StartUTC, TLSCipher, TLSVersion, downstream_X-App-Instance, entryPointName, level, msg, origin_X-App-Instance, time",3afa2c8e3475aabe598376030b20a4b24f57be03da1f2e62034377d6d770a698
results/20260915-223228-full-static-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223228-full-static-10/containers.jsonl,3175,JSONL,utf-8-sig,12,True,"stats, timestamp",4affcd8142e04f345a92ce87556145db36a71bfabc7dfa41094dd0189449b54e
results/20260915-223228-full-static-10/run.json,243,JSON,utf-8-sig,6,True,"durationSeconds, startedUtc, deployment, endpoint, requests, url",5bbb3c3363b46d01d1046f6ad2b7e2e01a5c0fcdaab881898110d65e594a0659
results/20260915-223228-full-static-10/samples.json,56196,JSONL,utf-8-sig,198,True,"data, metric, type",4b0687d2361feb11a46c505b9b211e3777379fc089310834ce08c5e13f3c7e2a
results/20260915-223228-full-static-10/stop,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223228-full-static-10/summary.json,5736,JSON,utf-8-sig,4,True,"root_group, options, state, metrics",154edc0b9453f0c70c2b90b65fb840475015408b9e50f5df5eea7a948f212dfa
results/20260915-223228-full-static-10/threads.jsonl,2956,JSONL,utf-8-sig,12,True,"container, processes, timestamp",5d906d267516d7cd67e9c45eaf9a61098c9c848b7ae89d0de49451389f103bd9
results/20260915-223228-full-static-10/traefik.jsonl,108702,JSONL con prefijo Docker Compose,utf-16,58,True,"ClientAddr, ClientHost, ClientPort, ClientUsername, DownstreamContentSize, DownstreamStatus, Duration, OriginContentSize, OriginDuration, OriginStatus, Overhead, RequestAddr, RequestContentSize, RequestCount, RequestHost, RequestMethod, RequestPath, RequestPort, RequestProtocol, RequestScheme, RetryAttempts, RouterName, ServiceAddr, ServiceName, ServiceURL, StartLocal, StartUTC, TLSCipher, TLSVersion, downstream_X-App-Instance, entryPointName, level, msg, origin_X-App-Instance, time",faab885b177b8c7cf033c397a8f234d15a5e87a93a4b8639e37b9f4e6fa46efe
results/20260915-223353-full-aggregation-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-aggregation-10/containers.jsonl,3182,JSONL,utf-8-sig,12,True,"stats, timestamp",cfa7eceada677e370d90c278cf586d960c4bf19d89635ebe7cd8b7cd13c72c78
results/20260915-223353-full-aggregation-10/run.json,233,JSON,utf-8-sig,6,True,"durationSeconds, startedUtc, deployment, endpoint, requests, url",ea61c35a434902a9a0498a121487d49f5a55f3e7e434aaf61ec36760828aae8c
results/20260915-223353-full-aggregation-10/samples.json,54704,JSONL,utf-8-sig,202,True,"data, metric, type",01dfe4df4b9d97fb78742901bd1995daad84148dedb76c9c71d6f85090a3f1e6
results/20260915-223353-full-aggregation-10/stop,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-aggregation-10/summary.json,5718,JSON,utf-8-sig,4,True,"root_group, options, state, metrics",a7b1765f574068a5064784bd4dbf9f19c8eb182c7c09ca379d0458ef2282b1b7
results/20260915-223353-full-aggregation-10/threads.jsonl,2956,JSONL,utf-8-sig,12,True,"container, processes, timestamp",6216954eb27b07b4e85b8bed7b3f748e2bb6af7b11e7c6854cab6d0b4a581fc0
results/20260915-223353-full-aggregation-10/traefik.jsonl,167500,JSONL con prefijo Docker Compose,utf-16,89,True,"ClientAddr, ClientHost, ClientPort, ClientUsername, DownstreamContentSize, DownstreamStatus, Duration, OriginContentSize, OriginDuration, OriginStatus, Overhead, RequestAddr, RequestContentSize, RequestCount, RequestHost, RequestMethod, RequestPath, RequestPort, RequestProtocol, RequestScheme, RetryAttempts, RouterName, ServiceAddr, ServiceName, ServiceURL, StartLocal, StartUTC, TLSCipher, TLSVersion, downstream_X-App-Instance, entryPointName, level, msg, origin_X-App-Instance, time",1bf5893b45b467ec0093b90fca7bec06b4de98cd7f4fda8c77acd69eb8dc96a5
results/20260915-223353-full-book-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-book-10/containers.jsonl,3185,JSONL,utf-8-sig,12,True,"stats, timestamp",1065fe8fef93b627f033883149d86a67b46410cc668c1326f9521dd28e44304f
results/20260915-223353-full-book-10/run.json,210,JSON,utf-8-sig,6,True,"durationSeconds, startedUtc, deployment, endpoint, requests, url",eead80a5e0363c91ba5038af00fb5dfec6b0d1f487d14be83bce48436f0fe0e9
results/20260915-223353-full-book-10/samples.json,50474,JSONL,utf-8-sig,198,True,"data, metric, type",f2dec224db0b32e055ab14b5946fd13dd005c3d37cf3e9501abb9a1b82df8ced
results/20260915-223353-full-book-10/stop,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-book-10/summary.json,5737,JSON,utf-8-sig,4,True,"metrics, root_group, options, state",6b5c8f8771ad1bfc00e0764da39947ce405b03c1b17880cf0d63ed865e671181
results/20260915-223353-full-book-10/threads.jsonl,2956,JSONL,utf-8-sig,12,True,"container, processes, timestamp",413c2f5c5b48486ca28e2578b38f39aef2b5ac4696e964b9bfa5835066c156f7
results/20260915-223353-full-book-10/traefik.jsonl,205950,JSONL con prefijo Docker Compose,utf-16,109,True,"ClientAddr, ClientHost, ClientPort, ClientUsername, DownstreamContentSize, DownstreamStatus, Duration, OriginContentSize, OriginDuration, OriginStatus, Overhead, RequestAddr, RequestContentSize, RequestCount, RequestHost, RequestMethod, RequestPath, RequestPort, RequestProtocol, RequestScheme, RetryAttempts, RouterName, ServiceAddr, ServiceName, ServiceURL, StartLocal, StartUTC, TLSCipher, TLSVersion, downstream_X-App-Instance, entryPointName, level, msg, origin_X-App-Instance, time",3c76641e9c33841af88f4054704d6ed8b0ad3115763f63bdb6a9f1c0cfa7004d
results/20260915-223353-full-search-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-search-10/containers.jsonl,3184,JSONL,utf-8-sig,12,True,"stats, timestamp",9751f109da85c7314921c8bfc18174153e3cd6edc2815454f1af8048dd229410
results/20260915-223353-full-search-10/run.json,229,JSON,utf-8-sig,6,True,"durationSeconds, startedUtc, deployment, endpoint, requests, url",8eb706d21b5e00d85a735af305f666bbf7d30cc361f63a4f2ff7b06dfde42d4a
results/20260915-223353-full-search-10/samples.json,55480,JSONL,utf-8-sig,208,True,"data, metric, type",add2248a9d7003aab9a34bda1fa4d1cd5119980584ab3921d578c31a5f65a897
results/20260915-223353-full-search-10/stop,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-search-10/summary.json,6020,JSON,utf-8-sig,4,True,"root_group, options, state, metrics",5e2e78fa87506c89ef1af9de0fe3c8187817dddb53e948778805741a40a2976b
results/20260915-223353-full-search-10/threads.jsonl,2956,JSONL,utf-8-sig,12,True,"container, processes, timestamp",5ab1009c938ec4fb33a5148fbd863221ecf7cdcdf3c92dcc9de855f5a8820345
results/20260915-223353-full-search-10/traefik.jsonl,186892,JSONL con prefijo Docker Compose,utf-16,99,True,"ClientAddr, ClientHost, ClientPort, ClientUsername, DownstreamContentSize, DownstreamStatus, Duration, OriginContentSize, OriginDuration, OriginStatus, Overhead, RequestAddr, RequestContentSize, RequestCount, RequestHost, RequestMethod, RequestPath, RequestPort, RequestProtocol, RequestScheme, RetryAttempts, RouterName, ServiceAddr, ServiceName, ServiceURL, StartLocal, StartUTC, TLSCipher, TLSVersion, downstream_X-App-Instance, entryPointName, level, msg, origin_X-App-Instance, time",45702b249dc950bcb758ad591936e668bd78c103584fc8f6a0fc5864d55714a9
results/20260915-223353-full-static-10/collector.log,0,empty,utf-8-sig,0,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
results/20260915-223353-full-static-10/containers.jsonl,3178,JSONL,utf-8-sig,12,True,"stats, timestamp",daa274bea878e93d9ce6225d8c22d54c25cf466c91601d0fbcaa44d3f402d47d
