deployment,endpoint,requests_target,timestamp,container,container_id,memory_original,memory_usage_mib,source_file
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-web-1,a42d74844cf7,108.4MiB / 15.17GiB,108.4,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-static-1,69b93e454d61,24.78MiB / 15.17GiB,24.78,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-db-1,ca43277e8356,48.46MiB / 15.17GiB,48.46,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-redis-1,87235cf2e925,7.793MiB / 192MiB,7.793,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-traefik-1,9848c97527b3,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:03.5477870Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-web-1,a42d74844cf7,112.9MiB / 15.17GiB,112.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-static-1,69b93e454d61,23.88MiB / 15.17GiB,23.88,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-db-1,ca43277e8356,49.36MiB / 15.17GiB,49.36,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-redis-1,87235cf2e925,8.484MiB / 192MiB,8.484,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-traefik-1,9848c97527b3,114.1MiB / 15.17GiB,114.1,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:12.2440049Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-web-1,a42d74844cf7,112.8MiB / 15.17GiB,112.8,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-static-1,69b93e454d61,24.03MiB / 15.17GiB,24.03,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-db-1,ca43277e8356,48.95MiB / 15.17GiB,48.95,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-redis-1,87235cf2e925,8.402MiB / 192MiB,8.402,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-traefik-1,9848c97527b3,113.5MiB / 15.17GiB,113.5,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:19.9887910Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-web-1,a42d74844cf7,112.6MiB / 15.17GiB,112.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-static-1,69b93e454d61,24.67MiB / 15.17GiB,24.67,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-db-1,ca43277e8356,49.1MiB / 15.17GiB,49.1,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-redis-1,87235cf2e925,8.672MiB / 192MiB,8.672,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-traefik-1,9848c97527b3,113.7MiB / 15.17GiB,113.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:27.7518145Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-web-1,a42d74844cf7,112.9MiB / 15.17GiB,112.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-static-1,69b93e454d61,24.49MiB / 15.17GiB,24.49,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-db-1,ca43277e8356,49.64MiB / 15.17GiB,49.64,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-redis-1,87235cf2e925,8.613MiB / 192MiB,8.613,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-traefik-1,9848c97527b3,113.6MiB / 15.17GiB,113.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:35.5290863Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-web-1,a42d74844cf7,112.5MiB / 15.17GiB,112.5,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-static-1,69b93e454d61,24.94MiB / 15.17GiB,24.94,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-db-1,ca43277e8356,49.23MiB / 15.17GiB,49.23,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-redis-1,87235cf2e925,8.617MiB / 192MiB,8.617,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-traefik-1,9848c97527b3,113.7MiB / 15.17GiB,113.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:43.0316662Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-web-1,a42d74844cf7,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-static-1,69b93e454d61,23.75MiB / 15.17GiB,23.75,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-db-1,ca43277e8356,49.88MiB / 15.17GiB,49.88,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-redis-1,87235cf2e925,7.879MiB / 192MiB,7.879,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-traefik-1,9848c97527b3,113.6MiB / 15.17GiB,113.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:50.8952833Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-web-1,a42d74844cf7,112.6MiB / 15.17GiB,112.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-static-1,69b93e454d61,24.24MiB / 15.17GiB,24.24,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-db-1,ca43277e8356,49.23MiB / 15.17GiB,49.23,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-redis-1,87235cf2e925,8.418MiB / 192MiB,8.418,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-traefik-1,9848c97527b3,114.3MiB / 15.17GiB,114.3,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:10:59.0298731Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-web-1,a42d74844cf7,112.6MiB / 15.17GiB,112.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-static-1,69b93e454d61,24.53MiB / 15.17GiB,24.53,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-db-1,ca43277e8356,49.25MiB / 15.17GiB,49.25,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-redis-1,87235cf2e925,8.543MiB / 192MiB,8.543,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-traefik-1,9848c97527b3,113.7MiB / 15.17GiB,113.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:06.9916214Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-web-1,a42d74844cf7,113MiB / 15.17GiB,113.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-static-1,69b93e454d61,24.77MiB / 15.17GiB,24.77,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-db-1,ca43277e8356,49.53MiB / 15.17GiB,49.53,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-redis-1,87235cf2e925,8.914MiB / 192MiB,8.914,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-traefik-1,9848c97527b3,113.9MiB / 15.17GiB,113.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:14.2255796Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-web-1,a42d74844cf7,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-static-1,69b93e454d61,23.98MiB / 15.17GiB,23.98,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-db-1,ca43277e8356,49.52MiB / 15.17GiB,49.52,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-redis-1,87235cf2e925,8.512MiB / 192MiB,8.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-traefik-1,9848c97527b3,113.3MiB / 15.17GiB,113.3,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:22.0512361Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-web-1,a42d74844cf7,112.9MiB / 15.17GiB,112.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-static-1,69b93e454d61,24.88MiB / 15.17GiB,24.88,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-db-1,ca43277e8356,49.21MiB / 15.17GiB,49.21,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-redis-1,87235cf2e925,8.91MiB / 192MiB,8.91,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-traefik-1,9848c97527b3,114MiB / 15.17GiB,114.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:29.9127576Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-web-1,a42d74844cf7,112.6MiB / 15.17GiB,112.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-static-1,69b93e454d61,24.54MiB / 15.17GiB,24.54,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
