deployment,endpoint,requests_target,container,container_id,process,pid,start_ticks,cpu_avg_pct,cpu_min_pct,cpu_max_pct,cpu_samples,memory_avg_mib,memory_min_mib,memory_max_mib,memory_samples,threads_avg,threads_min,threads_max,threads_samples,first_timestamp,last_timestamp,source_file
single,aggregation,1,book-reviews-a4-opensearch-1,48f7e9560c08,java,1,18849,0.913205,0.534,3.944,40,1414.2421875,1414.2421875,1414.2421875,41,125.0,125.0,125.0,41,2026-09-17T02:10:07.2313001Z,2026-09-17T02:15:17.3850970Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-static-1,69b93e454d61,bundle,1,70772,0.0383875,0.0,0.2642,40,30.734470274390244,30.58203125,30.83203125,41,9.0,9.0,9.0,41,2026-09-17T02:10:06.2854673Z,2026-09-17T02:15:16.8780568Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-redis-1,87235cf2e925,redis-server,1,18846,0.3057175,0.1276,0.5051,40,9.15234375,9.15234375,9.15234375,41,6.0,6.0,6.0,41,2026-09-17T02:10:06.7720544Z,2026-09-17T02:15:17.1340340Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-traefik-1,9848c97527b3,traefik,1,18847,0.1961925,0.0,0.3856,40,100.07631478658537,99.59765625,100.09765625,41,17.0,17.0,17.0,41,2026-09-17T02:10:07.0049572Z,2026-09-17T02:15:17.2693253Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-traefik-1,9848c97527b3,runc:[2:INIT],4195,127130,,,,0,11.5234375,11.5234375,11.5234375,1,6.0,6.0,6.0,1,2026-09-17T02:10:53.8791905Z,2026-09-17T02:10:53.8791905Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-traefik-1,9848c97527b3,traefik,4257,128650,,,,0,9.0546875,9.0546875,9.0546875,1,1.0,1.0,1.0,1,2026-09-17T02:11:09.0763874Z,2026-09-17T02:11:09.0763874Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-web-1,a42d74844cf7,ruby,1,89546,0.1738225,0.0,1.773,40,123.92197027439025,120.50390625,124.23046875,41,10.0,10.0,10.0,41,2026-09-17T02:10:06.0358513Z,2026-09-17T02:15:16.7586479Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-web-1,a42d74844cf7,runc:[2:INIT],1347,127878,,,,0,11.65625,11.65625,11.65625,1,6.0,6.0,6.0,1,2026-09-17T02:11:01.3772520Z,2026-09-17T02:11:01.3772520Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-web-1,a42d74844cf7,curl,1397,129395,,,,0,2.59765625,2.59765625,2.59765625,1,1.0,1.0,1.0,1,2026-09-17T02:11:16.5123214Z,2026-09-17T02:11:16.5123214Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-db-1,ca43277e8356,postgres,1,18849,0.0258225,0.0,0.1339,40,26.00390625,26.00390625,26.00390625,41,1.0,1.0,1.0,41,2026-09-17T02:10:06.5301373Z,2026-09-17T02:15:17.0002687Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-db-1,ca43277e8356,postgres,27,18905,0.0,0.0,0.0,40,6.875,6.875,6.875,41,1.0,1.0,1.0,41,2026-09-17T02:10:06.5301373Z,2026-09-17T02:15:17.0002687Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
single,aggregation,1,book-reviews-a4-db-1,ca43277e8356,postgres,28,18905,0.0,0.0,0.0,40,5.9296875,5.9296875,5.9296875,41,1.0,1.0,1.0,41,2026-09-17T02:10:06.5301373Z,2026-09-17T02:15:17.0002687Z,results/matrix-20260916-2305/full-aggregation-1/processes.jsonl
