endpoint,deployment,container,cpu_avg_pct,cpu_max_pct,memory_max_mib,threads_max,source_file
Static asset,single,static-1,2.33,5.4,35.6,10,results/matrix-20260916-2305/full-static-5000/containers.jsonl;results/matrix-20260916-2305/full-static-5000/container-identities.jsonl
Static asset,x3,static-1,1.82,4.0,36.0,9,results/matrix-20260916-2305/scaled-static-5000/containers.jsonl;results/matrix-20260916-2305/scaled-static-5000/container-identities.jsonl
Aggregation,single,web-1,16.82,24.08,140.3,12,results/matrix-20260916-2305/full-aggregation-5000/containers.jsonl;results/matrix-20260916-2305/full-aggregation-5000/container-identities.jsonl
Aggregation,x3,web-1,4.4,7.8,131.4,11,results/matrix-20260916-2305/scaled-aggregation-5000/containers.jsonl;results/matrix-20260916-2305/scaled-aggregation-5000/container-identities.jsonl
Aggregation,x3,web-2,4.6,7.63,135.6,11,results/matrix-20260916-2305/scaled-aggregation-5000/containers.jsonl;results/matrix-20260916-2305/scaled-aggregation-5000/container-identities.jsonl
Aggregation,x3,web-3,4.38,7.64,135.0,11,results/matrix-20260916-2305/scaled-aggregation-5000/containers.jsonl;results/matrix-20260916-2305/scaled-aggregation-5000/container-identities.jsonl
Search,single,opensearch-1,8.65,27.8,1534.0,131,results/matrix-20260916-2305/full-search-5000/containers.jsonl;results/matrix-20260916-2305/full-search-5000/container-identities.jsonl
Search,x3,opensearch-1,4.16,10.1,1536.0,133,results/matrix-20260916-2305/scaled-search-5000/containers.jsonl;results/matrix-20260916-2305/scaled-search-5000/container-identities.jsonl
Book detail,single,web-1,10.39,14.45,136.4,11,results/matrix-20260916-2305/full-book-5000/containers.jsonl;results/matrix-20260916-2305/full-book-5000/container-identities.jsonl
Book detail,x3,web-1,3.49,6.26,133.0,11,results/matrix-20260916-2305/scaled-book-5000/containers.jsonl;results/matrix-20260916-2305/scaled-book-5000/container-identities.jsonl
Book detail,x3,web-2,3.25,6.16,134.3,11,results/matrix-20260916-2305/scaled-book-5000/containers.jsonl;results/matrix-20260916-2305/scaled-book-5000/container-identities.jsonl
Book detail,x3,web-3,3.21,6.64,129.3,11,results/matrix-20260916-2305/scaled-book-5000/containers.jsonl;results/matrix-20260916-2305/scaled-book-5000/container-identities.jsonl
