deployment,endpoint,requests_target,status_code,count,percentage,source_file
single,aggregation,1,200,1,100.0,results/matrix-20260916-2305/full-aggregation-1/samples.json
single,aggregation,10,200,10,100.0,results/matrix-20260916-2305/full-aggregation-10/samples.json
single,aggregation,100,200,100,100.0,results/matrix-20260916-2305/full-aggregation-100/samples.json
single,aggregation,1000,200,1000,100.0,results/matrix-20260916-2305/full-aggregation-1000/samples.json
single,aggregation,5000,200,5000,100.0,results/matrix-20260916-2305/full-aggregation-5000/samples.json
single,book,1,200,1,100.0,results/matrix-20260916-2305/full-book-1/samples.json
single,book,10,200,10,100.0,results/matrix-20260916-2305/full-book-10/samples.json
single,book,100,200,100,100.0,results/matrix-20260916-2305/full-book-100/samples.json
single,book,1000,200,1000,100.0,results/matrix-20260916-2305/full-book-1000/samples.json
single,book,5000,200,5000,100.0,results/matrix-20260916-2305/full-book-5000/samples.json
single,search,1,200,1,100.0,results/matrix-20260916-2305/full-search-1/samples.json
single,search,10,200,10,100.0,results/matrix-20260916-2305/full-search-10/samples.json
single,search,100,200,100,100.0,results/matrix-20260916-2305/full-search-100/samples.json
single,search,1000,200,1000,100.0,results/matrix-20260916-2305/full-search-1000/samples.json
single,search,5000,200,5000,100.0,results/matrix-20260916-2305/full-search-5000/samples.json
single,static,1,200,1,100.0,results/matrix-20260916-2305/full-static-1/samples.json
single,static,10,200,10,100.0,results/matrix-20260916-2305/full-static-10/samples.json
single,static,100,200,100,100.0,results/matrix-20260916-2305/full-static-100/samples.json
single,static,1000,200,1000,100.0,results/matrix-20260916-2305/full-static-1000/samples.json
single,static,5000,200,5000,100.0,results/matrix-20260916-2305/full-static-5000/samples.json
x3,aggregation,1,200,1,100.0,results/matrix-20260916-2305/scaled-aggregation-1/samples.json
x3,aggregation,10,200,10,100.0,results/matrix-20260916-2305/scaled-aggregation-10/samples.json
x3,aggregation,100,200,100,100.0,results/matrix-20260916-2305/scaled-aggregation-100/samples.json
x3,aggregation,1000,200,1000,100.0,results/matrix-20260916-2305/scaled-aggregation-1000/samples.json
x3,aggregation,5000,200,5000,100.0,results/matrix-20260916-2305/scaled-aggregation-5000/samples.json
x3,book,1,200,1,100.0,results/matrix-20260916-2305/scaled-book-1/samples.json
x3,book,10,200,10,100.0,results/matrix-20260916-2305/scaled-book-10/samples.json
x3,book,100,200,100,100.0,results/matrix-20260916-2305/scaled-book-100/samples.json
x3,book,1000,200,1000,100.0,results/matrix-20260916-2305/scaled-book-1000/samples.json
x3,book,5000,200,5000,100.0,results/matrix-20260916-2305/scaled-book-5000/samples.json
x3,search,1,200,1,100.0,results/matrix-20260916-2305/scaled-search-1/samples.json
x3,search,10,200,10,100.0,results/matrix-20260916-2305/scaled-search-10/samples.json
x3,search,100,200,100,100.0,results/matrix-20260916-2305/scaled-search-100/samples.json
x3,search,1000,200,1000,100.0,results/matrix-20260916-2305/scaled-search-1000/samples.json
x3,search,5000,200,5000,100.0,results/matrix-20260916-2305/scaled-search-5000/samples.json
x3,static,1,200,1,100.0,results/matrix-20260916-2305/scaled-static-1/samples.json
x3,static,10,200,10,100.0,results/matrix-20260916-2305/scaled-static-10/samples.json
x3,static,100,200,100,100.0,results/matrix-20260916-2305/scaled-static-100/samples.json
x3,static,1000,200,1000,100.0,results/matrix-20260916-2305/scaled-static-1000/samples.json
x3,static,5000,200,5000,100.0,results/matrix-20260916-2305/scaled-static-5000/samples.json
