timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T03:12:56.2101220Z,a42d74844cf7,book-reviews-a4-web-1,0.36,125.2MiB / 15.17GiB,0.81,11,11
2026-09-17T03:12:56.2101220Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.92MiB / 15.17GiB,0.19,9,9
2026-09-17T03:12:56.2101220Z,ca43277e8356,book-reviews-a4-db-1,0.03,49.04MiB / 15.17GiB,0.32,7,7
2026-09-17T03:12:56.2101220Z,87235cf2e925,book-reviews-a4-redis-1,0.38,9.516MiB / 192MiB,4.96,6,6
2026-09-17T03:12:56.2101220Z,9848c97527b3,book-reviews-a4-traefik-1,0.19,118.1MiB / 15.17GiB,0.76,17,17
2026-09-17T03:12:56.2101220Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.78,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:13:06.1858007Z,a42d74844cf7,book-reviews-a4-web-1,5.08,127.7MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:06.1858007Z,69b93e454d61,book-reviews-a4-static-1,3.37,29.11MiB / 15.17GiB,0.19,9,9
2026-09-17T03:13:06.1858007Z,ca43277e8356,book-reviews-a4-db-1,4.07,50.57MiB / 15.17GiB,0.33,7,7
2026-09-17T03:13:06.1858007Z,87235cf2e925,book-reviews-a4-redis-1,0.55,10.54MiB / 192MiB,5.49,6,6
2026-09-17T03:13:06.1858007Z,9848c97527b3,book-reviews-a4-traefik-1,1.78,118.3MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:06.1858007Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.78,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:13:14.1893974Z,a42d74844cf7,book-reviews-a4-web-1,8.67,128.1MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:14.1893974Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.38MiB / 15.17GiB,0.18,9,9
2026-09-17T03:13:14.1893974Z,ca43277e8356,book-reviews-a4-db-1,4.67,50.35MiB / 15.17GiB,0.32,7,7
2026-09-17T03:13:14.1893974Z,87235cf2e925,book-reviews-a4-redis-1,0.45,10.63MiB / 192MiB,5.54,6,6
2026-09-17T03:13:14.1893974Z,9848c97527b3,book-reviews-a4-traefik-1,0.69,118.1MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:14.1893974Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.72,1.437GiB / 1.5GiB,95.83,129,129
2026-09-17T03:13:22.2404535Z,a42d74844cf7,book-reviews-a4-web-1,3.29,127.3MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:22.2404535Z,69b93e454d61,book-reviews-a4-static-1,0.02,29.03MiB / 15.17GiB,0.19,9,9
2026-09-17T03:13:22.2404535Z,ca43277e8356,book-reviews-a4-db-1,0.29,49.94MiB / 15.17GiB,0.32,7,7
2026-09-17T03:13:22.2404535Z,87235cf2e925,book-reviews-a4-redis-1,0.42,10.05MiB / 192MiB,5.23,6,6
2026-09-17T03:13:22.2404535Z,9848c97527b3,book-reviews-a4-traefik-1,0.54,118.2MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:22.2404535Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.74,1.438GiB / 1.5GiB,95.86,129,129
2026-09-17T03:13:30.2030560Z,a42d74844cf7,book-reviews-a4-web-1,2.93,127.2MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:30.2030560Z,69b93e454d61,book-reviews-a4-static-1,3.28,29.27MiB / 15.17GiB,0.19,9,9
2026-09-17T03:13:30.2030560Z,ca43277e8356,book-reviews-a4-db-1,3.63,49.73MiB / 15.17GiB,0.32,7,7
2026-09-17T03:13:30.2030560Z,87235cf2e925,book-reviews-a4-redis-1,0.56,10.4MiB / 192MiB,5.42,6,6
2026-09-17T03:13:30.2030560Z,9848c97527b3,book-reviews-a4-traefik-1,0.78,117.8MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:30.2030560Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.75,1.437GiB / 1.5GiB,95.82,129,129
2026-09-17T03:13:38.2040427Z,a42d74844cf7,book-reviews-a4-web-1,2.95,128.1MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:38.2040427Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.75MiB / 15.17GiB,0.19,9,9
2026-09-17T03:13:38.2040427Z,ca43277e8356,book-reviews-a4-db-1,3.39,50.12MiB / 15.17GiB,0.32,7,7
2026-09-17T03:13:38.2040427Z,87235cf2e925,book-reviews-a4-redis-1,3.05,10.36MiB / 192MiB,5.40,6,6
2026-09-17T03:13:38.2040427Z,9848c97527b3,book-reviews-a4-traefik-1,0.65,118.6MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:38.2040427Z,48f7e9560c08,book-reviews-a4-opensearch-1,1.13,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:13:46.0032525Z,a42d74844cf7,book-reviews-a4-web-1,3.45,128.1MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:46.0032525Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.98MiB / 15.17GiB,0.19,9,9
2026-09-17T03:13:46.0032525Z,ca43277e8356,book-reviews-a4-db-1,3.88,54.64MiB / 15.17GiB,0.35,7,7
2026-09-17T03:13:46.0032525Z,87235cf2e925,book-reviews-a4-redis-1,0.47,10.09MiB / 192MiB,5.26,6,6
2026-09-17T03:13:46.0032525Z,9848c97527b3,book-reviews-a4-traefik-1,8.13,118.4MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:46.0032525Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.67,1.438GiB / 1.5GiB,95.85,129,129
2026-09-17T03:13:53.9523481Z,a42d74844cf7,book-reviews-a4-web-1,6.98,127.6MiB / 15.17GiB,0.82,11,11
2026-09-17T03:13:53.9523481Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.49MiB / 15.17GiB,0.18,9,9
2026-09-17T03:13:53.9523481Z,ca43277e8356,book-reviews-a4-db-1,0.79,50.36MiB / 15.17GiB,0.32,7,7
2026-09-17T03:13:53.9523481Z,87235cf2e925,book-reviews-a4-redis-1,3.08,10.29MiB / 192MiB,5.36,6,6
2026-09-17T03:13:53.9523481Z,9848c97527b3,book-reviews-a4-traefik-1,0.51,118.9MiB / 15.17GiB,0.76,17,17
2026-09-17T03:13:53.9523481Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.66,1.437GiB / 1.5GiB,95.81,129,129
2026-09-17T03:14:01.9127661Z,a42d74844cf7,book-reviews-a4-web-1,4.72,127.3MiB / 15.17GiB,0.82,11,11
2026-09-17T03:14:01.9127661Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.94MiB / 15.17GiB,0.19,9,9
2026-09-17T03:14:01.9127661Z,ca43277e8356,book-reviews-a4-db-1,0.44,49.48MiB / 15.17GiB,0.32,7,7
2026-09-17T03:14:01.9127661Z,87235cf2e925,book-reviews-a4-redis-1,0.45,10.3MiB / 192MiB,5.36,6,6
2026-09-17T03:14:01.9127661Z,9848c97527b3,book-reviews-a4-traefik-1,0.98,119.3MiB / 15.17GiB,0.77,17,17
2026-09-17T03:14:01.9127661Z,48f7e9560c08,book-reviews-a4-opensearch-1,4.34,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:14:09.8448983Z,a42d74844cf7,book-reviews-a4-web-1,7.41,127.9MiB / 15.17GiB,0.82,11,11
2026-09-17T03:14:09.8448983Z,69b93e454d61,book-reviews-a4-static-1,0.02,28.24MiB / 15.17GiB,0.18,9,9
2026-09-17T03:14:09.8448983Z,ca43277e8356,book-reviews-a4-db-1,4.32,49.84MiB / 15.17GiB,0.32,7,7
2026-09-17T03:14:09.8448983Z,87235cf2e925,book-reviews-a4-redis-1,0.50,10.29MiB / 192MiB,5.36,6,6
2026-09-17T03:14:09.8448983Z,9848c97527b3,book-reviews-a4-traefik-1,0.65,119.5MiB / 15.17GiB,0.77,17,17
2026-09-17T03:14:09.8448983Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.60,1.438GiB / 1.5GiB,95.84,129,129
2026-09-17T03:14:17.0633226Z,a42d74844cf7,book-reviews-a4-web-1,3.14,127MiB / 15.17GiB,0.82,11,11
2026-09-17T03:14:17.0633226Z,69b93e454d61,book-reviews-a4-static-1,0.02,28.61MiB / 15.17GiB,0.18,9,9
2026-09-17T03:14:17.0633226Z,ca43277e8356,book-reviews-a4-db-1,3.78,49.91MiB / 15.17GiB,0.32,7,7
2026-09-17T03:14:17.0633226Z,87235cf2e925,book-reviews-a4-redis-1,0.51,10.23MiB / 192MiB,5.33,6,6
2026-09-17T03:14:17.0633226Z,9848c97527b3,book-reviews-a4-traefik-1,0.59,119.2MiB / 15.17GiB,0.77,17,17
2026-09-17T03:14:17.0633226Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.66,1.438GiB / 1.5GiB,95.86,129,129
2026-09-17T03:14:25.0379578Z,a42d74844cf7,book-reviews-a4-web-1,7.38,132.2MiB / 15.17GiB,0.85,11,11
2026-09-17T03:14:25.0379578Z,69b93e454d61,book-reviews-a4-static-1,0.01,28.73MiB / 15.17GiB,0.18,9,9
2026-09-17T03:14:25.0379578Z,ca43277e8356,book-reviews-a4-db-1,3.60,50.02MiB / 15.17GiB,0.32,7,7
2026-09-17T03:14:25.0379578Z,87235cf2e925,book-reviews-a4-redis-1,0.44,10.28MiB / 192MiB,5.35,6,6
2026-09-17T03:14:25.0379578Z,9848c97527b3,book-reviews-a4-traefik-1,0.77,120MiB / 15.17GiB,0.77,17,17
2026-09-17T03:14:25.0379578Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.64,1.437GiB / 1.5GiB,95.81,129,129
2026-09-17T03:14:33.0031316Z,a42d74844cf7,book-reviews-a4-web-1,3.19,127.1MiB / 15.17GiB,0.82,11,11
2026-09-17T03:14:33.0031316Z,69b93e454d61,book-reviews-a4-static-1,0.02,28.9MiB / 15.17GiB,0.19,9,9
2026-09-17T03:14:33.0031316Z,ca43277e8356,book-reviews-a4-db-1,0.32,50.34MiB / 15.17GiB,0.32,7,7
2026-09-17T03:14:33.0031316Z,87235cf2e925,book-reviews-a4-redis-1,3.02,10.2MiB / 192MiB,5.31,6,6
2026-09-17T03:14:33.0031316Z,9848c97527b3,book-reviews-a4-traefik-1,0.63,120MiB / 15.17GiB,0.77,17,17
2026-09-17T03:14:33.0031316Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.71,1.438GiB / 1.5GiB,95.84,129,129
