timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:20:37.0314688Z,a42d74844cf7,book-reviews-a4-web-1,0.35,113.9MiB / 15.17GiB,0.73,11,11
2026-09-17T02:20:37.0314688Z,69b93e454d61,book-reviews-a4-static-1,0.02,23.69MiB / 15.17GiB,0.15,15,9
2026-09-17T02:20:37.0314688Z,ca43277e8356,book-reviews-a4-db-1,0.02,49.33MiB / 15.17GiB,0.32,7,7
2026-09-17T02:20:37.0314688Z,87235cf2e925,book-reviews-a4-redis-1,0.33,8.441MiB / 192MiB,4.40,6,6
2026-09-17T02:20:37.0314688Z,9848c97527b3,book-reviews-a4-traefik-1,0.18,114.5MiB / 15.17GiB,0.74,17,17
2026-09-17T02:20:37.0314688Z,48f7e9560c08,book-reviews-a4-opensearch-1,5.73,1.44GiB / 1.5GiB,96.02,127,127
2026-09-17T02:20:45.7684099Z,a42d74844cf7,book-reviews-a4-web-1,3.29,116MiB / 15.17GiB,0.75,11,11
2026-09-17T02:20:45.7684099Z,69b93e454d61,book-reviews-a4-static-1,0.02,24.65MiB / 15.17GiB,0.16,9,9
2026-09-17T02:20:45.7684099Z,ca43277e8356,book-reviews-a4-db-1,3.09,50.88MiB / 15.17GiB,0.33,8,8
2026-09-17T02:20:45.7684099Z,87235cf2e925,book-reviews-a4-redis-1,0.31,8.246MiB / 192MiB,4.29,6,6
2026-09-17T02:20:45.7684099Z,9848c97527b3,book-reviews-a4-traefik-1,6.74,113.2MiB / 15.17GiB,0.73,17,17
2026-09-17T02:20:45.7684099Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.66,1.44GiB / 1.5GiB,95.99,127,127
2026-09-17T02:20:52.6722868Z,a42d74844cf7,book-reviews-a4-web-1,0.01,116.5MiB / 15.17GiB,0.75,11,11
2026-09-17T02:20:52.6722868Z,69b93e454d61,book-reviews-a4-static-1,3.07,25.3MiB / 15.17GiB,0.16,9,9
2026-09-17T02:20:52.6722868Z,ca43277e8356,book-reviews-a4-db-1,3.29,51.33MiB / 15.17GiB,0.33,8,8
2026-09-17T02:20:52.6722868Z,87235cf2e925,book-reviews-a4-redis-1,0.32,8.559MiB / 192MiB,4.46,6,6
2026-09-17T02:20:52.6722868Z,9848c97527b3,book-reviews-a4-traefik-1,0.17,113.7MiB / 15.17GiB,0.73,17,17
2026-09-17T02:20:52.6722868Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.63,1.44GiB / 1.5GiB,95.99,127,127
2026-09-17T02:21:00.5596531Z,a42d74844cf7,book-reviews-a4-web-1,2.80,116.2MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:00.5596531Z,69b93e454d61,book-reviews-a4-static-1,0.01,24.8MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:00.5596531Z,ca43277e8356,book-reviews-a4-db-1,3.19,51.45MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:00.5596531Z,87235cf2e925,book-reviews-a4-redis-1,2.56,8.461MiB / 192MiB,4.41,6,6
2026-09-17T02:21:00.5596531Z,9848c97527b3,book-reviews-a4-traefik-1,6.51,113.5MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:00.5596531Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.67,1.44GiB / 1.5GiB,96.02,127,127
2026-09-17T02:21:08.3898448Z,a42d74844cf7,book-reviews-a4-web-1,0.02,115.8MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:08.3898448Z,69b93e454d61,book-reviews-a4-static-1,0.01,24.64MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:08.3898448Z,ca43277e8356,book-reviews-a4-db-1,3.58,52.43MiB / 15.17GiB,0.34,8,8
2026-09-17T02:21:08.3898448Z,87235cf2e925,book-reviews-a4-redis-1,0.30,8.094MiB / 192MiB,4.22,6,6
2026-09-17T02:21:08.3898448Z,9848c97527b3,book-reviews-a4-traefik-1,0.11,113.5MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:08.3898448Z,48f7e9560c08,book-reviews-a4-opensearch-1,1.28,1.44GiB / 1.5GiB,96.03,127,127
2026-09-17T02:21:16.2507483Z,a42d74844cf7,book-reviews-a4-web-1,0.02,117.1MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:16.2507483Z,69b93e454d61,book-reviews-a4-static-1,0.01,24.7MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:16.2507483Z,ca43277e8356,book-reviews-a4-db-1,0.00,51.39MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:16.2507483Z,87235cf2e925,book-reviews-a4-redis-1,2.85,8.52MiB / 192MiB,4.44,6,6
2026-09-17T02:21:16.2507483Z,9848c97527b3,book-reviews-a4-traefik-1,0.06,113.6MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:16.2507483Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.62,1.44GiB / 1.5GiB,96.02,127,127
2026-09-17T02:21:23.6586644Z,a42d74844cf7,book-reviews-a4-web-1,0.02,116.4MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:23.6586644Z,69b93e454d61,book-reviews-a4-static-1,0.01,25.04MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:23.6586644Z,ca43277e8356,book-reviews-a4-db-1,0.42,51.35MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:23.6586644Z,87235cf2e925,book-reviews-a4-redis-1,0.28,8.699MiB / 192MiB,4.53,6,6
2026-09-17T02:21:23.6586644Z,9848c97527b3,book-reviews-a4-traefik-1,0.07,113.3MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:23.6586644Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.66,1.44GiB / 1.5GiB,96.00,127,127
2026-09-17T02:21:31.4813377Z,a42d74844cf7,book-reviews-a4-web-1,0.32,116.4MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:31.4813377Z,69b93e454d61,book-reviews-a4-static-1,0.01,24.99MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:31.4813377Z,ca43277e8356,book-reviews-a4-db-1,3.25,51.61MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:31.4813377Z,87235cf2e925,book-reviews-a4-redis-1,0.33,8.504MiB / 192MiB,4.43,6,6
2026-09-17T02:21:31.4813377Z,9848c97527b3,book-reviews-a4-traefik-1,0.15,113.8MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:31.4813377Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.63,1.44GiB / 1.5GiB,96.02,127,127
2026-09-17T02:21:39.3898875Z,a42d74844cf7,book-reviews-a4-web-1,0.02,115.9MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:39.3898875Z,69b93e454d61,book-reviews-a4-static-1,3.06,24.75MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:39.3898875Z,ca43277e8356,book-reviews-a4-db-1,2.95,51.3MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:39.3898875Z,87235cf2e925,book-reviews-a4-redis-1,0.28,8.566MiB / 192MiB,4.46,6,6
2026-09-17T02:21:39.3898875Z,9848c97527b3,book-reviews-a4-traefik-1,0.05,113.6MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:39.3898875Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.65,1.44GiB / 1.5GiB,96.01,127,127
2026-09-17T02:21:47.2529726Z,a42d74844cf7,book-reviews-a4-web-1,0.34,116.3MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:47.2529726Z,69b93e454d61,book-reviews-a4-static-1,0.02,24.9MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:47.2529726Z,ca43277e8356,book-reviews-a4-db-1,0.02,51.65MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:47.2529726Z,87235cf2e925,book-reviews-a4-redis-1,0.30,8.207MiB / 192MiB,4.27,6,6
2026-09-17T02:21:47.2529726Z,9848c97527b3,book-reviews-a4-traefik-1,0.19,113.3MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:47.2529726Z,48f7e9560c08,book-reviews-a4-opensearch-1,4.02,1.44GiB / 1.5GiB,96.02,127,127
2026-09-17T02:21:54.6985685Z,a42d74844cf7,book-reviews-a4-web-1,0.02,116.3MiB / 15.17GiB,0.75,11,11
2026-09-17T02:21:54.6985685Z,69b93e454d61,book-reviews-a4-static-1,0.03,25.1MiB / 15.17GiB,0.16,9,9
2026-09-17T02:21:54.6985685Z,ca43277e8356,book-reviews-a4-db-1,0.00,51.29MiB / 15.17GiB,0.33,8,8
2026-09-17T02:21:54.6985685Z,87235cf2e925,book-reviews-a4-redis-1,0.29,8.59MiB / 192MiB,4.47,6,6
2026-09-17T02:21:54.6985685Z,9848c97527b3,book-reviews-a4-traefik-1,0.00,113.2MiB / 15.17GiB,0.73,17,17
2026-09-17T02:21:54.6985685Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.88,1.44GiB / 1.5GiB,95.99,127,127
2026-09-17T02:22:02.5583518Z,a42d74844cf7,book-reviews-a4-web-1,0.01,116MiB / 15.17GiB,0.75,11,11
