timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:57:15.9148609Z,a42d74844cf7,book-reviews-a4-web-1,0.02,122.7MiB / 15.17GiB,0.79,11,11
2026-09-17T02:57:15.9148609Z,69b93e454d61,book-reviews-a4-static-1,0.02,27.01MiB / 15.17GiB,0.17,9,9
2026-09-17T02:57:15.9148609Z,ca43277e8356,book-reviews-a4-db-1,3.23,49.2MiB / 15.17GiB,0.32,7,7
2026-09-17T02:57:15.9148609Z,87235cf2e925,book-reviews-a4-redis-1,0.34,9.738MiB / 192MiB,5.07,6,6
2026-09-17T02:57:15.9148609Z,9848c97527b3,book-reviews-a4-traefik-1,7.13,117.9MiB / 15.17GiB,0.76,17,17
2026-09-17T02:57:15.9148609Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.70,1.439GiB / 1.5GiB,95.93,129,129
2026-09-17T02:57:25.2502258Z,a42d74844cf7,book-reviews-a4-web-1,1.05,124MiB / 15.17GiB,0.80,11,11
2026-09-17T02:57:25.2502258Z,69b93e454d61,book-reviews-a4-static-1,0.01,27.96MiB / 15.17GiB,0.18,9,9
2026-09-17T02:57:25.2502258Z,ca43277e8356,book-reviews-a4-db-1,3.55,50.01MiB / 15.17GiB,0.32,7,7
2026-09-17T02:57:25.2502258Z,87235cf2e925,book-reviews-a4-redis-1,3.38,10.56MiB / 192MiB,5.50,6,6
2026-09-17T02:57:25.2502258Z,9848c97527b3,book-reviews-a4-traefik-1,0.51,117.1MiB / 15.17GiB,0.75,17,17
2026-09-17T02:57:25.2502258Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.70,1.44GiB / 1.5GiB,95.97,129,129
2026-09-17T02:57:33.2428173Z,a42d74844cf7,book-reviews-a4-web-1,0.01,123.8MiB / 15.17GiB,0.80,11,11
2026-09-17T02:57:33.2428173Z,69b93e454d61,book-reviews-a4-static-1,0.02,28.41MiB / 15.17GiB,0.18,9,9
2026-09-17T02:57:33.2428173Z,ca43277e8356,book-reviews-a4-db-1,0.00,49.53MiB / 15.17GiB,0.32,7,7
2026-09-17T02:57:33.2428173Z,87235cf2e925,book-reviews-a4-redis-1,0.30,9.82MiB / 192MiB,5.11,6,6
2026-09-17T02:57:33.2428173Z,9848c97527b3,book-reviews-a4-traefik-1,0.07,117.3MiB / 15.17GiB,0.75,17,17
2026-09-17T02:57:33.2428173Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.59,1.44GiB / 1.5GiB,95.98,129,129
