timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:46:48.3580351Z,a42d74844cf7,book-reviews-a4-web-1,0.02,119.5MiB / 15.17GiB,0.77,11,11
2026-09-17T02:46:48.3580351Z,69b93e454d61,book-reviews-a4-static-1,0.01,26.32MiB / 15.17GiB,0.17,9,9
2026-09-17T02:46:48.3580351Z,ca43277e8356,book-reviews-a4-db-1,2.73,49.12MiB / 15.17GiB,0.32,7,7
2026-09-17T02:46:48.3580351Z,87235cf2e925,book-reviews-a4-redis-1,0.30,8.156MiB / 192MiB,4.25,6,6
2026-09-17T02:46:48.3580351Z,9848c97527b3,book-reviews-a4-traefik-1,0.07,116.7MiB / 15.17GiB,0.75,17,17
2026-09-17T02:46:48.3580351Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.71,1.439GiB / 1.5GiB,95.95,127,127
2026-09-17T02:46:56.3078368Z,a42d74844cf7,book-reviews-a4-web-1,0.02,119.2MiB / 15.17GiB,0.77,11,11
2026-09-17T02:46:56.3078368Z,69b93e454d61,book-reviews-a4-static-1,2.67,27.25MiB / 15.17GiB,0.18,9,9
2026-09-17T02:46:56.3078368Z,ca43277e8356,book-reviews-a4-db-1,1.69,49.24MiB / 15.17GiB,0.32,7,7
2026-09-17T02:46:56.3078368Z,87235cf2e925,book-reviews-a4-redis-1,2.63,8.527MiB / 192MiB,4.44,6,6
2026-09-17T02:46:56.3078368Z,9848c97527b3,book-reviews-a4-traefik-1,0.47,116.1MiB / 15.17GiB,0.75,17,17
2026-09-17T02:46:56.3078368Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.57,1.439GiB / 1.5GiB,95.95,127,127
2026-09-17T02:47:03.6999571Z,a42d74844cf7,book-reviews-a4-web-1,0.01,119.7MiB / 15.17GiB,0.77,11,11
2026-09-17T02:47:03.6999571Z,69b93e454d61,book-reviews-a4-static-1,0.01,27.07MiB / 15.17GiB,0.17,9,9
2026-09-17T02:47:03.6999571Z,ca43277e8356,book-reviews-a4-db-1,2.99,49.81MiB / 15.17GiB,0.32,7,7
2026-09-17T02:47:03.6999571Z,87235cf2e925,book-reviews-a4-redis-1,0.28,8.723MiB / 192MiB,4.54,6,6
2026-09-17T02:47:03.6999571Z,9848c97527b3,book-reviews-a4-traefik-1,0.00,115.6MiB / 15.17GiB,0.74,17,17
2026-09-17T02:47:03.6999571Z,48f7e9560c08,book-reviews-a4-opensearch-1,3.76,1.439GiB / 1.5GiB,95.93,127,127
2026-09-17T02:47:11.4457973Z,a42d74844cf7,book-reviews-a4-web-1,0.31,119.8MiB / 15.17GiB,0.77,11,11
2026-09-17T02:47:11.4457973Z,69b93e454d61,book-reviews-a4-static-1,0.08,26.77MiB / 15.17GiB,0.17,9,9
2026-09-17T02:47:11.4457973Z,ca43277e8356,book-reviews-a4-db-1,3.00,49.52MiB / 15.17GiB,0.32,7,7
2026-09-17T02:47:11.4457973Z,87235cf2e925,book-reviews-a4-redis-1,2.54,8.543MiB / 192MiB,4.45,6,6
2026-09-17T02:47:11.4457973Z,9848c97527b3,book-reviews-a4-traefik-1,1.24,116.1MiB / 15.17GiB,0.75,17,17
2026-09-17T02:47:11.4457973Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.55,1.439GiB / 1.5GiB,95.96,127,127
2026-09-17T02:47:19.1786072Z,a42d74844cf7,book-reviews-a4-web-1,0.01,119.9MiB / 15.17GiB,0.77,11,11
2026-09-17T02:47:19.1786072Z,69b93e454d61,book-reviews-a4-static-1,0.01,27.7MiB / 15.17GiB,0.18,9,9
2026-09-17T02:47:19.1786072Z,ca43277e8356,book-reviews-a4-db-1,0.00,49.64MiB / 15.17GiB,0.32,7,7
2026-09-17T02:47:19.1786072Z,87235cf2e925,book-reviews-a4-redis-1,0.27,7.738MiB / 192MiB,4.03,6,6
2026-09-17T02:47:19.1786072Z,9848c97527b3,book-reviews-a4-traefik-1,5.47,117MiB / 15.17GiB,0.75,17,17
2026-09-17T02:47:19.1786072Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.62,1.439GiB / 1.5GiB,95.92,127,127
