timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T03:55:29.9638666Z,348cd506525f,book-reviews-a4-web-1,0.33,109.7MiB / 15.17GiB,0.71,10,10
2026-09-17T03:55:29.9638666Z,660681595a5e,book-reviews-a4-web-2,0.33,109.3MiB / 15.17GiB,0.70,10,10
2026-09-17T03:55:29.9638666Z,a1cb37b7da6b,book-reviews-a4-web-3,0.30,109MiB / 15.17GiB,0.70,10,10
2026-09-17T03:55:29.9638666Z,69b93e454d61,book-reviews-a4-static-1,0.01,29.88MiB / 15.17GiB,0.19,9,9
2026-09-17T03:55:29.9638666Z,ca43277e8356,book-reviews-a4-db-1,5.30,53.25MiB / 15.17GiB,0.34,9,9
2026-09-17T03:55:29.9638666Z,87235cf2e925,book-reviews-a4-redis-1,0.41,15.7MiB / 192MiB,8.17,6,6
2026-09-17T03:55:29.9638666Z,9848c97527b3,book-reviews-a4-traefik-1,0.35,119.5MiB / 15.17GiB,0.77,18,18
2026-09-17T03:55:29.9638666Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.84,1.463GiB / 1.5GiB,97.55,129,129
2026-09-17T03:55:40.1564702Z,348cd506525f,book-reviews-a4-web-1,0.44,112.9MiB / 15.17GiB,0.73,10,10
2026-09-17T03:55:40.1564702Z,660681595a5e,book-reviews-a4-web-2,0.47,109.8MiB / 15.17GiB,0.71,10,10
2026-09-17T03:55:40.1564702Z,a1cb37b7da6b,book-reviews-a4-web-3,0.38,110.2MiB / 15.17GiB,0.71,10,10
2026-09-17T03:55:40.1564702Z,69b93e454d61,book-reviews-a4-static-1,0.01,30.54MiB / 15.17GiB,0.20,9,9
2026-09-17T03:55:40.1564702Z,ca43277e8356,book-reviews-a4-db-1,0.54,53.03MiB / 15.17GiB,0.34,9,9
2026-09-17T03:55:40.1564702Z,87235cf2e925,book-reviews-a4-redis-1,0.48,15.38MiB / 192MiB,8.01,6,6
2026-09-17T03:55:40.1564702Z,9848c97527b3,book-reviews-a4-traefik-1,0.30,118.8MiB / 15.17GiB,0.76,18,18
2026-09-17T03:55:40.1564702Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.79,1.463GiB / 1.5GiB,97.52,129,129
2026-09-17T03:55:48.2294281Z,348cd506525f,book-reviews-a4-web-1,0.01,112.5MiB / 15.17GiB,0.72,10,10
2026-09-17T03:55:48.2294281Z,660681595a5e,book-reviews-a4-web-2,0.02,108.7MiB / 15.17GiB,0.70,10,10
2026-09-17T03:55:48.2294281Z,a1cb37b7da6b,book-reviews-a4-web-3,0.02,109.3MiB / 15.17GiB,0.70,10,10
2026-09-17T03:55:48.2294281Z,69b93e454d61,book-reviews-a4-static-1,0.02,29.37MiB / 15.17GiB,0.19,9,9
2026-09-17T03:55:48.2294281Z,ca43277e8356,book-reviews-a4-db-1,3.84,53.71MiB / 15.17GiB,0.35,9,9
2026-09-17T03:55:48.2294281Z,87235cf2e925,book-reviews-a4-redis-1,0.32,15.48MiB / 192MiB,8.06,6,6
2026-09-17T03:55:48.2294281Z,9848c97527b3,book-reviews-a4-traefik-1,0.13,118.5MiB / 15.17GiB,0.76,18,18
2026-09-17T03:55:48.2294281Z,48f7e9560c08,book-reviews-a4-opensearch-1,6.71,1.464GiB / 1.5GiB,97.60,129,129
2026-09-17T03:55:56.4508834Z,348cd506525f,book-reviews-a4-web-1,4.22,113.7MiB / 15.17GiB,0.73,10,10
2026-09-17T03:55:56.4508834Z,660681595a5e,book-reviews-a4-web-2,5.84,110.4MiB / 15.17GiB,0.71,10,10
2026-09-17T03:55:56.4508834Z,a1cb37b7da6b,book-reviews-a4-web-3,0.02,109MiB / 15.17GiB,0.70,10,10
2026-09-17T03:55:56.4508834Z,69b93e454d61,book-reviews-a4-static-1,0.01,29.7MiB / 15.17GiB,0.19,9,9
2026-09-17T03:55:56.4508834Z,ca43277e8356,book-reviews-a4-db-1,3.50,52.82MiB / 15.17GiB,0.34,9,9
2026-09-17T03:55:56.4508834Z,87235cf2e925,book-reviews-a4-redis-1,0.41,15.42MiB / 192MiB,8.03,6,6
2026-09-17T03:55:56.4508834Z,9848c97527b3,book-reviews-a4-traefik-1,0.19,118.6MiB / 15.17GiB,0.76,18,18
2026-09-17T03:55:56.4508834Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.69,1.463GiB / 1.5GiB,97.53,129,129
2026-09-17T03:56:04.8321241Z,348cd506525f,book-reviews-a4-web-1,0.47,113.3MiB / 15.17GiB,0.73,10,10
2026-09-17T03:56:04.8321241Z,660681595a5e,book-reviews-a4-web-2,0.02,109MiB / 15.17GiB,0.70,10,10
2026-09-17T03:56:04.8321241Z,a1cb37b7da6b,book-reviews-a4-web-3,0.02,109.6MiB / 15.17GiB,0.71,10,10
2026-09-17T03:56:04.8321241Z,69b93e454d61,book-reviews-a4-static-1,0.02,30.32MiB / 15.17GiB,0.20,9,9
2026-09-17T03:56:04.8321241Z,ca43277e8356,book-reviews-a4-db-1,3.63,53.33MiB / 15.17GiB,0.34,9,9
2026-09-17T03:56:04.8321241Z,87235cf2e925,book-reviews-a4-redis-1,0.41,15.79MiB / 192MiB,8.22,6,6
2026-09-17T03:56:04.8321241Z,9848c97527b3,book-reviews-a4-traefik-1,0.43,118.9MiB / 15.17GiB,0.77,18,18
2026-09-17T03:56:04.8321241Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.65,1.463GiB / 1.5GiB,97.55,129,129
2026-09-17T03:56:13.0210617Z,348cd506525f,book-reviews-a4-web-1,0.01,113MiB / 15.17GiB,0.73,10,10
2026-09-17T03:56:13.0210617Z,660681595a5e,book-reviews-a4-web-2,3.63,109.6MiB / 15.17GiB,0.71,10,10
2026-09-17T03:56:13.0210617Z,a1cb37b7da6b,book-reviews-a4-web-3,3.61,109.8MiB / 15.17GiB,0.71,10,10
2026-09-17T03:56:13.0210617Z,69b93e454d61,book-reviews-a4-static-1,0.02,30.02MiB / 15.17GiB,0.19,9,9
2026-09-17T03:56:13.0210617Z,ca43277e8356,book-reviews-a4-db-1,3.25,53.2MiB / 15.17GiB,0.34,9,9
