timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T04:32:30.7121158Z,348cd506525f,book-reviews-a4-web-1,0.01,118.9MiB / 15.17GiB,0.77,11,11
2026-09-17T04:32:30.7121158Z,660681595a5e,book-reviews-a4-web-2,0.01,118.8MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:30.7121158Z,a1cb37b7da6b,book-reviews-a4-web-3,0.02,118.5MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:30.7121158Z,69b93e454d61,book-reviews-a4-static-1,0.01,30.92MiB / 15.17GiB,0.20,9,9
2026-09-17T04:32:30.7121158Z,ca43277e8356,book-reviews-a4-db-1,0.00,53.71MiB / 15.17GiB,0.35,9,9
2026-09-17T04:32:30.7121158Z,87235cf2e925,book-reviews-a4-redis-1,0.39,14.51MiB / 192MiB,7.56,6,6
2026-09-17T04:32:30.7121158Z,9848c97527b3,book-reviews-a4-traefik-1,0.00,119.4MiB / 15.17GiB,0.77,18,18
2026-09-17T04:32:30.7121158Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.70,1.49GiB / 1.5GiB,99.31,131,131
2026-09-17T04:32:40.5893451Z,348cd506525f,book-reviews-a4-web-1,0.45,118.9MiB / 15.17GiB,0.77,11,11
2026-09-17T04:32:40.5893451Z,660681595a5e,book-reviews-a4-web-2,0.03,118.1MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:40.5893451Z,a1cb37b7da6b,book-reviews-a4-web-3,0.02,118.2MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:40.5893451Z,69b93e454d61,book-reviews-a4-static-1,0.10,31.55MiB / 15.17GiB,0.20,9,9
2026-09-17T04:32:40.5893451Z,ca43277e8356,book-reviews-a4-db-1,0.59,53.88MiB / 15.17GiB,0.35,9,9
2026-09-17T04:32:40.5893451Z,87235cf2e925,book-reviews-a4-redis-1,0.32,15.52MiB / 192MiB,8.08,6,6
2026-09-17T04:32:40.5893451Z,9848c97527b3,book-reviews-a4-traefik-1,0.40,119.7MiB / 15.17GiB,0.77,18,18
2026-09-17T04:32:40.5893451Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.73,1.489GiB / 1.5GiB,99.26,129,129
2026-09-17T04:32:48.8302632Z,348cd506525f,book-reviews-a4-web-1,3.86,118.2MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:48.8302632Z,660681595a5e,book-reviews-a4-web-2,3.48,119MiB / 15.17GiB,0.77,11,11
2026-09-17T04:32:48.8302632Z,a1cb37b7da6b,book-reviews-a4-web-3,0.01,118.4MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:48.8302632Z,69b93e454d61,book-reviews-a4-static-1,3.15,35.89MiB / 15.17GiB,0.23,9,9
2026-09-17T04:32:48.8302632Z,ca43277e8356,book-reviews-a4-db-1,0.07,53.59MiB / 15.17GiB,0.34,9,9
2026-09-17T04:32:48.8302632Z,87235cf2e925,book-reviews-a4-redis-1,0.46,15.4MiB / 192MiB,8.02,6,6
2026-09-17T04:32:48.8302632Z,9848c97527b3,book-reviews-a4-traefik-1,7.65,119.9MiB / 15.17GiB,0.77,18,18
2026-09-17T04:32:48.8302632Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.61,1.489GiB / 1.5GiB,99.26,129,129
2026-09-17T04:32:57.1517368Z,348cd506525f,book-reviews-a4-web-1,0.01,119.2MiB / 15.17GiB,0.77,11,11
2026-09-17T04:32:57.1517368Z,660681595a5e,book-reviews-a4-web-2,0.01,117.9MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:57.1517368Z,a1cb37b7da6b,book-reviews-a4-web-3,0.01,117.9MiB / 15.17GiB,0.76,11,11
2026-09-17T04:32:57.1517368Z,69b93e454d61,book-reviews-a4-static-1,0.02,30.68MiB / 15.17GiB,0.20,9,9
2026-09-17T04:32:57.1517368Z,ca43277e8356,book-reviews-a4-db-1,0.00,54.4MiB / 15.17GiB,0.35,9,9
