timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:03:30.2389676Z,759fc9d203aa,book-reviews-a4-web-1,0.65,105.2MiB / 15.17GiB,0.68,10,10
2026-09-17T02:03:30.2389676Z,434c7bb4ce3b,book-reviews-a4-web-2,0.02,102.6MiB / 15.17GiB,0.66,10,10
2026-09-17T02:03:30.2389676Z,974c97b0d9bd,book-reviews-a4-web-3,0.02,103.6MiB / 15.17GiB,0.67,11,11
2026-09-17T02:03:30.2389676Z,69b93e454d61,book-reviews-a4-static-1,3.00,23.08MiB / 15.17GiB,0.15,9,9
2026-09-17T02:03:30.2389676Z,ca43277e8356,book-reviews-a4-db-1,0.01,52.84MiB / 15.17GiB,0.34,9,9
2026-09-17T02:03:30.2389676Z,87235cf2e925,book-reviews-a4-redis-1,0.27,8.414MiB / 192MiB,4.38,6,6
2026-09-17T02:03:30.2389676Z,9848c97527b3,book-reviews-a4-traefik-1,0.05,113MiB / 15.17GiB,0.73,17,17
2026-09-17T02:03:30.2389676Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.87,1.43GiB / 1.5GiB,95.33,125,125
2026-09-17T02:03:39.6796589Z,759fc9d203aa,book-reviews-a4-web-1,0.02,106.3MiB / 15.17GiB,0.68,10,10
2026-09-17T02:03:39.6796589Z,434c7bb4ce3b,book-reviews-a4-web-2,0.01,104.9MiB / 15.17GiB,0.68,10,10
2026-09-17T02:03:39.6796589Z,974c97b0d9bd,book-reviews-a4-web-3,0.42,104.4MiB / 15.17GiB,0.67,11,11
2026-09-17T02:03:39.6796589Z,69b93e454d61,book-reviews-a4-static-1,3.32,23.87MiB / 15.17GiB,0.15,9,9
2026-09-17T02:03:39.6796589Z,ca43277e8356,book-reviews-a4-db-1,3.27,52.97MiB / 15.17GiB,0.34,9,9
2026-09-17T02:03:39.6796589Z,87235cf2e925,book-reviews-a4-redis-1,0.28,7.93MiB / 192MiB,4.13,6,6
2026-09-17T02:03:39.6796589Z,9848c97527b3,book-reviews-a4-traefik-1,0.17,112.8MiB / 15.17GiB,0.73,17,17
2026-09-17T02:03:39.6796589Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.93,1.43GiB / 1.5GiB,95.35,125,125
