timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:03:16.6890132Z,759fc9d203aa,book-reviews-a4-web-1,3.99,105.6MiB / 15.17GiB,0.68,10,10
2026-09-17T02:03:16.6890132Z,434c7bb4ce3b,book-reviews-a4-web-2,3.36,102.6MiB / 15.17GiB,0.66,10,10
2026-09-17T02:03:16.6890132Z,974c97b0d9bd,book-reviews-a4-web-3,0.01,100.5MiB / 15.17GiB,0.65,10,10
2026-09-17T02:03:16.6890132Z,69b93e454d61,book-reviews-a4-static-1,0.01,22.24MiB / 15.17GiB,0.14,9,9
2026-09-17T02:03:16.6890132Z,ca43277e8356,book-reviews-a4-db-1,3.12,52.39MiB / 15.17GiB,0.34,9,9
2026-09-17T02:03:16.6890132Z,87235cf2e925,book-reviews-a4-redis-1,0.36,7.957MiB / 192MiB,4.14,6,6
2026-09-17T02:03:16.6890132Z,9848c97527b3,book-reviews-a4-traefik-1,6.37,112.6MiB / 15.17GiB,0.72,17,17
2026-09-17T02:03:16.6890132Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.84,1.43GiB / 1.5GiB,95.32,123,123
2026-09-17T02:03:25.9171997Z,759fc9d203aa,book-reviews-a4-web-1,0.01,105.1MiB / 15.17GiB,0.68,10,10
2026-09-17T02:03:25.9171997Z,434c7bb4ce3b,book-reviews-a4-web-2,0.01,102.5MiB / 15.17GiB,0.66,10,10
2026-09-17T02:03:25.9171997Z,974c97b0d9bd,book-reviews-a4-web-3,0.01,103.6MiB / 15.17GiB,0.67,11,11
2026-09-17T02:03:25.9171997Z,69b93e454d61,book-reviews-a4-static-1,3.21,23.53MiB / 15.17GiB,0.15,9,9
2026-09-17T02:03:25.9171997Z,ca43277e8356,book-reviews-a4-db-1,3.09,52.69MiB / 15.17GiB,0.34,9,9
2026-09-17T02:03:25.9171997Z,87235cf2e925,book-reviews-a4-redis-1,0.28,8.289MiB / 192MiB,4.32,6,6
2026-09-17T02:03:25.9171997Z,9848c97527b3,book-reviews-a4-traefik-1,0.10,112.7MiB / 15.17GiB,0.73,17,17
2026-09-17T02:03:25.9171997Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.83,1.43GiB / 1.5GiB,95.32,125,125
