timestamp,container,name,cpu_percent,memory_usage,memory_percent,threads,pids
2026-09-17T02:02:47.7663055Z,759fc9d203aa,book-reviews-a4-web-1,4.50,101.8MiB / 15.17GiB,0.66,10,10
2026-09-17T02:02:47.7663055Z,434c7bb4ce3b,book-reviews-a4-web-2,0.03,101.2MiB / 15.17GiB,0.65,10,10
2026-09-17T02:02:47.7663055Z,974c97b0d9bd,book-reviews-a4-web-3,0.03,100.3MiB / 15.17GiB,0.65,10,10
2026-09-17T02:02:47.7663055Z,69b93e454d61,book-reviews-a4-static-1,0.02,22.13MiB / 15.17GiB,0.14,9,9
2026-09-17T02:02:47.7663055Z,ca43277e8356,book-reviews-a4-db-1,3.49,52.29MiB / 15.17GiB,0.34,9,9
2026-09-17T02:02:47.7663055Z,87235cf2e925,book-reviews-a4-redis-1,0.33,8.438MiB / 192MiB,4.39,6,6
2026-09-17T02:02:47.7663055Z,9848c97527b3,book-reviews-a4-traefik-1,0.11,108.4MiB / 15.17GiB,0.70,17,17
2026-09-17T02:02:47.7663055Z,48f7e9560c08,book-reviews-a4-opensearch-1,1.17,1.437GiB / 1.5GiB,95.77,125,125
2026-09-17T02:02:57.1137495Z,759fc9d203aa,book-reviews-a4-web-1,3.08,101.6MiB / 15.17GiB,0.65,10,10
2026-09-17T02:02:57.1137495Z,434c7bb4ce3b,book-reviews-a4-web-2,0.02,100.6MiB / 15.17GiB,0.65,10,10
2026-09-17T02:02:57.1137495Z,974c97b0d9bd,book-reviews-a4-web-3,0.01,100MiB / 15.17GiB,0.64,10,10
2026-09-17T02:02:57.1137495Z,69b93e454d61,book-reviews-a4-static-1,0.02,22.17MiB / 15.17GiB,0.14,9,9
2026-09-17T02:02:57.1137495Z,ca43277e8356,book-reviews-a4-db-1,0.07,52.19MiB / 15.17GiB,0.34,9,9
2026-09-17T02:02:57.1137495Z,87235cf2e925,book-reviews-a4-redis-1,0.39,8.445MiB / 192MiB,4.40,6,6
2026-09-17T02:02:57.1137495Z,9848c97527b3,book-reviews-a4-traefik-1,0.20,112MiB / 15.17GiB,0.72,17,17
2026-09-17T02:02:57.1137495Z,48f7e9560c08,book-reviews-a4-opensearch-1,0.67,1.431GiB / 1.5GiB,95.39,125,125
